z,mu,emu
0.08994,38.66201122224285,0.23349165693723192
0.09838,36.288461472146025,0.23100770314002775
0.12736,37.5544410765786,0.35023748540584876
0.13464,38.53701236762876,0.22619504265794366
0.15007,36.88019860535496,0.32901097113882666
0.15022,40.52273122415045,0.4571520862139493
0.1508,37.256918291263844,0.46201540628005583
0.15454,38.6467943948326,0.45715208621394915
0.16023,37.78949542705459,0.4571520862139491
0.16115,39.230807751994035,0.45239008531588637
0.16646,39.11143740557941,0.4571520862139492
0.17522,42.4642604895904,0.34651155471004164
0.17752,39.43017339978687,0.45239008531588765
0.17881,40.88841478576245,0.2386233417050833
0.17933,37.669629894984894,0.4669833138744648
0.17942,43.06430973497112,0.2360296097300281
0.18414,43.851278946610165,0.559657837504191
0.19178,40.051614481231496,0.4431576345951546
0.19294,36.76203797832056,0.3323682259463661
0.19514,39.535514130715626,0.339292563986916
0.19722,36.88807346661258,0.4523900853158882
0.19847,38.80066743012935,0.45239008531588826
0.2036,40.5835447038898,0.3787451877063244
0.20842,39.55951003081461,0.5714401077674365
0.21143,41.67410573851933,0.24959452982945457
0.21936,41.05511488580743,0.46201540628005583
0.22319,41.37659193777722,0.565487606644859
0.2245,40.93431568757336,0.4772466834101664
0.22909,39.30871325505041,0.34286406466046127
0.23152,40.9370439169509,0.33929256398691515
0.23994,38.38270952551636,0.46201540628005455
0.24655,40.0471690298487,0.35023748540584787
0.25632,41.18988136003384,0.35793501255762555
0.25646,41.41743047657826,0.4669833138744645
0.25868,40.51784750113006,0.2360296097300278
0.26027,42.159575111532945,0.35404441459504254
0.26234,37.31063001005484,0.33579470250251364
0.26284,38.70748538759736,0.5596578375041895
0.26374,39.980811687629114,0.35023748540584826
0.26492,43.61701936921912,0.4720592194600558
0.26504,43.4544913823583,0.5965583542627081
0.26612,41.79023787277475,0.5109346845920609
0.26703,38.305742667048264,0.5539470432439437
0.2695,39.7084753744187,0.4620154062800541
0.27027,40.516000503373846,0.3619120682527091
0.27263,42.81204729148777,0.3619120682527105
0.27268,39.237534921957234,0.3579350125576257
0.27298,41.56031775971806,0.5714401077674363
0.27421,41.259773193618685,0.4772466834101676
0.27526,42.40446659321026,0.57751925785007
0.27546,38.1754779365246,0.45239008531588765
0.27647,40.72442139667214,0.4669833138744642
0.27865,39.455262544395055,0.339292563986915
0.29114,40.90311289695299,0.3392925639869152
0.29144,41.78419297377806,0.2310077031400279
0.29245,40.34410703173714,0.35023748540584776
0.30355,43.30808951858339,0.4720592194600559
0.3064,44.68760158580403,0.3540444145950423
0.30691,38.90241414100342,0.23100770314002778
0.30705,40.46647098775679,0.3428640646604619
