,z,DM,eDM
0,0.012649999999999998,33.89964204414585,0.09090324878958833
1,0.19569814814814818,40.11236846537975,0.090475487238023
2,0.4764829596412557,42.577035306387856,0.2842685157318196
3,0.7060316981132075,43.264640575823265,0.034956615636713095
4,0.9011395759717314,43.81569029822232,0.007511277731687183
5,1.232721717171717,44.63448402353384,0.00411907302927988
6,1.6328227414330216,45.18204612559967,0.02021306653663763
7,1.9381521186440676,45.41629221314483,0.13347719337080324
8,2.414334730538922,45.68869179412549,0.45580975758609626
9,3.0523919999999998,46.31259113683426,0.4445146440787309
10,3.614484848484849,46.38265440305234,1.0735332401602704
11,4.638461538461538,47.28164901840584,0.6069447951157078
12,6.077484615384615,47.1265210721918,2.627038158112218
13,7.08,47.112827,4.0745196447578
